"column_name","data_type","is_nullable","column_default"
"id","uuid","NO","gen_random_uuid()"
"user_id","uuid","NO","null"
"first_name","text","NO","null"
"last_name","text","NO","null"
"street_address","text","NO","null"
"apartment","text","YES","null"
"city","text","NO","null"
"state","text","NO","null"
"postal_code","text","NO","null"
"country","text","NO","'United States'::text"
"phone","text","NO","null"
"is_default_shipping","boolean","YES","false"
"is_default_billing","boolean","YES","false"
"created_at","timestamp with time zone","YES","now()"
"updated_at","timestamp with time zone","YES","now()"
